USER        PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root          1  0.0  0.2 119700  5652 ?        Ss   Dec06   0:03 /sbin/init auto noprompt
boyet      5210  0.0  2.5 829512 52780 ?        Sl   Dec06   0:01 /usr/lib/evolution/evolution-calendar-factory-subprocess --factory contacts --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.Calendarx5104x2 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/Calendar/5104/2
boyet      5221  0.0  2.6 813892 54612 ?        Sl   Dec06   0:02 /usr/lib/evolution/evolution-calendar-factory-subprocess --factory local --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.Calendarx5104x3 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/Calendar/5104/3
boyet      5225  0.0  0.9 704392 19740 ?        Sl   Dec06   0:00 /usr/lib/evolution/evolution-addressbook-factory
boyet      5242  0.0  0.2 193048  5356 ?        Sl   Dec06   0:00 /usr/lib/gvfs/gvfsd-metadata
boyet      5250  0.0  0.9 779868 18680 ?        Sl   Dec06   0:00 /usr/lib/evolution/evolution-addressbook-factory-subprocess --factory local --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.AddressBookx5225x2 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/AddressBook/5225/2
root       7327  0.0  0.5 192896 10784 ?        Ssl  Dec06   0:20 /usr/bin/vmtoolsd
root       9021  0.0  0.0  23008  1956 tty1     Ss+  Dec06   0:00 /sbin/agetty --noclear tty1 linux
boyet      9044  0.0  1.2 599864 25308 ?        Sl   Dec06   0:01 update-notifier
root       9076  0.0  0.0 163628   556 ?        Ss   Dec06   0:01 gpg-agent --homedir /root/.gnupg --use-standard-socket --daemon
boyet      9343  4.3 21.5 1399020 437128 ?      Sl   Dec06  17:51 /usr/lib/firefox/firefox
boyet      9399  0.0  0.5 522096 10196 ?        Sl   Dec06   0:00 /usr/lib/x86_64-linux-gnu/deja-dup/deja-dup-monitor
boyet     12375  0.0  0.0  11232   336 ?        Ss   Dec06   0:00 ssh-agent -s
boyet     12883  0.0  0.5 371136 10560 ?        Sl   Dec06   0:00 /usr/lib/gvfs/gvfsd-network --spawner :1.4 /org/gtk/gvfs/exec_spaw/1
boyet     12905  0.0  0.4 442524  8828 ?        Sl   Dec06   0:00 /usr/lib/gvfs/gvfsd-dnssd --spawner :1.4 /org/gtk/gvfs/exec_spaw/6
boyet     13064  0.0  2.7 776724 55116 ?        Sl   Dec06   0:08 evince /home/boyet/Downloads/atlassian_git_cheatsheet.pdf
boyet     13072  0.0  0.2 178496  4120 ?        Sl   Dec06   0:00 /usr/lib/evince/evinced
boyet     14569  0.0  0.0  11232   336 ?        Ss   00:51   0:00 ssh-agent -s
boyet     14600  0.0  0.0  29112   328 pts/18   S    00:54   0:00 xclip -sel clip
root      15049  0.0  0.0      0     0 ?        S    02:15   0:00 [kworker/u256:1]
root      15104  0.0  0.0      0     0 ?        S    02:26   0:00 [kworker/0:0]
root      15214  0.0  0.0      0     0 ?        S    02:37   0:00 [kworker/u256:0]
root      15251  0.0  0.0      0     0 ?        S    02:39   0:00 [kworker/0:1]
boyet     15307  0.0  0.1  19608  2932 pts/18   S+   02:45   0:00 /bin/bash ./Process.sh
boyet     15310  0.0  0.1  44432  3248 pts/18   R+   02:45   0:00 ps -augx
